internal_id, planet_name                  , star_name                  , num_stars, num_planets, num_moons, is_circumbinary, discovery_method             , discovery_year, discovery_locale, discovery_facility                            , discovery_telescope                                        , discovery_instrument                      , orbital_period       , orbit_radius    , radius_earth, mass_earth   , planet_density, eccentricity, insolation_flux, planet_temp, has_transit_variations, spectral_type   , star_temp, star_radius, star_mass, star_metallicity, star_luminosity, star_gravity, star_age, ra_deg     , dec_deg    , distance_pc  , star_brightness
       6058, WASP-82 b                    , WASP-82                    ,         1,           1,         0,               0, Transit                      ,           2015, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         2.70579000000,     0.0447000000,  18.15858000,  371.86110000,       0.354000,     0.000000,       3557.2900,     2190.00,                      0, F5              ,   6480.00,    2.100000,  1.480000, 0.1200          , 0.79422        ,     3.960000,         ,  72.6605916, 1.8938365  ,  275.66400000,       9.8979600
       6059, WASP-83 b                    , WASP-83                    ,         1,           1,         0,               0, Transit                      ,           2015, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         4.97125200000,     0.0590000000,  11.65736000,   95.34900000,       0.350000,     0.000000,        238.8750,     1120.00,                      0, G8              ,   5510.00,    1.050000,  1.110000, 0.2900          , -0.04966       ,     4.440000,   5.0000, 190.1519558, -19.2843527,  271.10300000,      12.0084000
       6060, WASP-84 b                    , WASP-84                    ,         1,           2,         0,               0, Transit                      ,           2014, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         8.52349648000,     0.0778000000,  10.72000000,  220.00000000,       0.980000,     0.000000,         34.6952,      732.00,                      0, K0              ,   5280.00,    0.768000,  0.853000, 0.0000          , -0.32500       ,     4.598000,   2.1000, 131.1069959, 1.8598933  ,  100.58800000,      10.5745000
       6061, WASP-84 c                    , WASP-84                    ,         1,           2,         0,               0, Transit                      ,           2023, Space           , Transiting Exoplanet Survey Satellite (TESS)  , 0.1 m TESS Telescope                                       , TESS CCD Array                            ,         1.44688490000,     0.0235900000,   1.95000000,   15.20000000,      11.200000,             ,       1452.1800,     1329.00,                      0, K0              ,   5280.00,    0.768000,  0.853000, 0.0000          , -0.32500       ,     4.598000,   2.1000, 131.1069959, 1.8598933  ,  100.58800000,      10.5745000
       6062, WASP-85 A b                  , WASP-85 A                  ,         2,           1,         0,               0, Transit                      ,           2016, Space           , K2                                            , 0.95 m Kepler Telescope                                    , Kepler CCD Array                          ,         2.65567770000,     0.0390000000,  13.89916000,  402.05495000,       0.880000,     0.000000,        640.3258,     1452.00,                      0, G5 V            ,   6112.00,    0.935000,  1.090000, 0.1180          , -0.07144       ,     4.480000,         , 175.9080328, 6.5637842  ,  141.88700000,      10.6241000
       6063, WASP-87 b                    , WASP-87                    ,         2,           1,         0,               0, Transit                      ,           2016, Ground          , Anglo-Australian Telescope                    , 3.9 m Anglo-Australian Telescope                           , UCLES Spectrograph                        ,         1.68279500000,     0.0294600000,  15.52446500,  692.86940000,       1.020000,     0.000000,       4170.0965,     2049.54,                      0,                 ,   6450.00,    1.627000,  1.204000,                 , 0.53683        ,     4.320000,         , 185.3246821, -52.8408163,  298.39200000,      10.7091000
       6064, WASP-88 b                    , WASP-88                    ,         1,           1,         0,               0, Transit                      ,           2014, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         4.95400000000,     0.0643100000,  16.36514000,  133.48860000,       0.141000,     0.000000,       1489.5543,     1772.00,                      0, F6              ,   6430.00,    1.800000,  0.940000, -0.0800         , 0.72351        ,     3.960000,   3.0000, 309.5112337, -48.4620833,  523.75600000,      11.4780000
       6065, WASP-89 b                    , WASP-89                    ,         1,           1,         0,               0, Transit                      ,           2015, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         3.35642270000,     0.0427000000,  11.65736000, 1875.19700000,       7.000000,     0.193000,        278.8533,     1120.00,                      0, K3              ,   5130.00,    0.880000,  0.920000, 0.1500          , -0.34333       ,     4.515000,   1.3000, 313.9000261, -18.9714084,  290.94600000,      12.9890000
       6066, WASP-90 b                    , WASP-90                    ,         1,           1,         0,               0, Transit                      ,           2016, Ground          , SuperWASP                                     , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         3.91624300000,     0.0562000000,  18.27067000,  200.23290000,       0.193000,     0.000000,       1704.4939,     1840.00,                      0, F6              ,   6430.00,    1.980000,  1.550000, 0.1100          , 0.63014        ,     4.033000,   4.4000, 315.5319489, 7.0562793  ,  466.43300000,      11.4559000
       6067, WASP-91 b                    , WASP-91                    ,         1,           1,         0,               0, Transit                      ,           2017, Ground          , SuperWASP-South                               , Canon 200mm f/1.8L                                         , iKon-L CCD Camera                         ,         2.79858100000,     0.0370000000,  11.54527000,  425.89220000,       1.590000,     0.000000,        332.5562,     1160.00,                      0, K3              ,   4920.00,    0.860000,  0.840000, 0.1900          , -0.38270       ,     4.300000,         , 357.8464340, -70.1528621,  149.94200000,      11.6236000
